,CO(Monóxido de Carbono) - ppm,MP10(Partículas Inaláveis) - µg/m3,MP2.5(Partículas Inaláveis Finas) - µg/m3,NO(Monóxido de Nitrogênio) - µg/m3,NO2(Dióxido de Nitrogênio) - µg/m3,NOx(Óxidos de Nitrogênio) - ppb,O3(Ozônio) - µg/m3,SO2(Dióxido de Enxofre) - µg/m3,Data,Casos Diários,Temperatura (°C),Temperatura Ponto Orvalho (°C),Umidade Relativa (%),Sensação Térmica (°C),Velocidade do Vento (Nós)
0,0.7,15.5,7.0,20.5,26.0,30.5,35.3,5.0,2011-01-01,0,20.85,17.61,82.3,20.85,8.83
1,0.85,10.0,4.5,32.5,25.0,41.5,18.5,2.0,2011-01-02,2,19.71,18.36,91.94,19.71,9.92
2,1.15,13.0,9.5,43.0,39.0,56.17,7.5,2.0,2011-01-03,9,20.38,18.91,91.28,20.43,7.56
3,0.95,12.5,9.0,30.5,33.0,45.0,8.0,1.0,2011-01-04,4,22.11,19.87,87.48,22.32,4.19
4,1.2,18.0,11.5,34.5,41.0,50.0,23.5,4.0,2011-01-05,2,23.57,19.44,79.32,23.92,7.85
5,0.85,19.5,10.0,28.5,42.0,44.0,21.0,2.25,2011-01-06,3,23.11,19.29,80.56,23.37,5.64
6,1.1,19.5,10.5,34.0,38.0,51.5,17.0,1.5,2011-01-07,2,23.03,19.29,80.29,23.27,4.28
7,1.05,18.0,13.0,33.96,41.5,50.84,8.0,0.01,2011-01-08,2,22.6,19.69,84.48,23.0,2.32
8,1.0,15.5,8.5,21.5,32.0,35.0,24.5,0.1,2011-01-09,2,23.97,18.77,74.83,24.38,5.08
9,1.4,21.0,13.5,49.71,40.5,68.5,27.5,0.26,2011-01-10,2,24.79,20.25,77.51,25.44,5.62
10,1.3,18.0,10.5,52.0,42.5,63.0,29.0,0.51,2011-01-11,5,22.21,19.63,86.09,22.58,6.72
11,1.25,25.5,12.0,48.0,41.0,60.0,19.5,0.83,2011-01-12,1,23.35,19.96,82.12,23.77,7.75
12,1.2,20.5,11.5,40.0,47.29,57.5,12.0,1.24,2011-01-13,1,23.02,19.84,82.56,23.48,7.65
13,1.45,22.0,14.5,57.0,48.5,73.5,22.5,1.72,2011-01-14,3,22.55,20.3,87.37,22.99,5.64
14,1.1,29.5,22.0,57.5,49.5,75.0,36.0,6.0,2011-01-15,2,22.78,19.41,82.12,23.02,5.58
15,0.7,17.0,10.5,15.0,32.5,27.0,36.5,4.0,2011-01-16,3,23.54,19.63,79.89,23.93,5.65
16,1.35,17.5,10.0,51.0,39.5,63.5,17.5,5.0,2011-01-17,2,22.62,18.93,80.09,22.72,6.16
17,1.3,21.5,13.0,37.5,50.0,62.5,12.53,3.5,2011-01-18,1,24.22,19.43,76.5,24.63,3.84
18,1.45,27.0,16.0,53.68,46.46,68.1,8.5,3.0,2011-01-19,3,23.83,19.42,77.26,24.24,4.25
19,1.35,22.0,13.0,35.0,62.5,58.5,13.0,3.0,2011-01-20,4,23.84,19.84,78.62,23.99,3.36
20,0.9,33.0,31.12,37.0,66.5,70.5,32.0,9.24,2011-01-21,7,23.46,20.15,82.62,23.7,4.5
21,1.1,39.0,25.5,30.0,61.95,61.5,45.0,4.0,2011-01-22,1,24.25,19.83,78.3,24.7,10.88
22,1.0,39.5,25.5,25.5,52.5,51.5,53.0,4.0,2011-01-23,2,24.46,20.35,79.63,24.86,6.08
23,1.3,40.5,32.0,47.0,82.5,86.5,33.0,5.5,2011-01-24,6,23.18,19.75,82.75,23.6,4.57
24,0.9,33.0,23.0,19.0,53.5,41.5,36.0,3.5,2011-01-25,4,24.58,20.15,77.93,24.94,4.92
25,1.35,60.5,41.0,39.5,79.5,72.5,40.5,7.0,2011-01-26,4,24.19,20.04,79.07,24.39,4.15
26,1.45,32.0,25.0,50.0,78.5,84.5,37.5,7.0,2011-01-27,1,26.62,18.5,65.29,26.64,4.0
