number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,77049.63189938817,2025-11-10 14:47:31.359530,2025-11-10 14:47:40.211119,0 days 00:00:08.851589,10,28,2.0944477768450014e-05,1,75,0.1233474456225915,COMPLETE
1,78431.34503187101,2025-11-10 14:47:40.254661,2025-11-10 14:47:44.236103,0 days 00:00:03.981442,1,3,0.010117176538393502,6,8,0.6082806763438241,COMPLETE
2,71814.82566644772,2025-11-10 14:47:44.249113,2025-11-10 14:47:58.010120,0 days 00:00:13.761007,5,20,0.939975466456856,4,125,0.6234326557878013,COMPLETE
3,75886.32149130179,2025-11-10 14:47:58.023076,2025-11-10 14:48:29.330548,0 days 00:00:31.307472,3,22,0.72549952445292,10,34,0.5397079189082871,COMPLETE
4,75187.35794207054,2025-11-10 14:48:29.344561,2025-11-10 14:48:38.498736,0 days 00:00:09.154175,9,2,0.020653019791624615,7,84,0.6371460876109722,COMPLETE
5,76152.15215006507,2025-11-10 14:48:38.524154,2025-11-10 14:50:43.908201,0 days 00:02:05.384047,22,12,0.020237653896662322,12,78,0.8514198489604186,COMPLETE
6,71290.01064862349,2025-11-10 14:50:43.921759,2025-11-10 14:59:50.879520,0 days 00:09:06.957761,23,11,0.03619667027132225,11,642,0.11446846707871866,COMPLETE
7,73955.2594926127,2025-11-10 14:59:50.894256,2025-11-10 15:01:13.920270,0 days 00:01:23.026014,5,17,0.09134876651892626,8,239,0.3107565136451967,COMPLETE
8,77496.78923690683,2025-11-10 15:01:13.949620,2025-11-10 15:04:06.666167,0 days 00:02:52.716547,19,5,0.00030106925759965423,12,164,0.2770354389611126,COMPLETE
9,77936.40436530676,2025-11-10 15:04:06.704024,2025-11-10 15:04:26.344964,0 days 00:00:19.640940,6,8,0.02087869838306687,8,81,0.8922211644682742,COMPLETE
10,77053.52927447297,2025-11-10 15:04:26.362816,2025-11-10 15:04:33.372284,0 days 00:00:07.009468,28,11,0.00031214297887760474,0,973,0.34982222176408406,COMPLETE
11,59355.270389886515,2025-11-10 15:04:33.385278,2025-11-10 15:05:15.587402,0 days 00:00:42.202124,15,17,0.9279262639144166,4,626,0.4888956371865669,COMPLETE
12,61372.45634373644,2025-11-10 15:05:15.610274,2025-11-10 15:05:56.741383,0 days 00:00:41.131109,15,14,0.1597744904257688,3,911,0.10758939137362823,COMPLETE
13,58817.45227413737,2025-11-10 15:05:56.764047,2025-11-10 15:06:18.499969,0 days 00:00:21.735922,15,16,0.20490327201660638,3,415,0.39464922553149456,COMPLETE
14,56655.84253760305,2025-11-10 15:06:18.512871,2025-11-10 15:06:44.876569,0 days 00:00:26.363698,15,24,0.16849966821806908,3,397,0.398302209651163,COMPLETE
15,74624.3706655559,2025-11-10 15:06:44.889814,2025-11-10 15:07:04.591553,0 days 00:00:19.701739,12,27,0.0023632897331555317,2,362,0.4080987024802377,COMPLETE
16,64758.61269786983,2025-11-10 15:07:04.613589,2025-11-10 15:07:13.184327,0 days 00:00:08.570738,19,24,0.1817617550397825,5,17,0.7470002657362831,COMPLETE
17,76941.50836568387,2025-11-10 15:07:13.197917,2025-11-10 15:07:22.734357,0 days 00:00:09.536440,27,30,0.002878601181559911,0,329,0.45329814926866163,COMPLETE
18,55650.715648578385,2025-11-10 15:07:22.768287,2025-11-10 15:07:30.094288,0 days 00:00:07.326001,18,19,0.21580352296838035,2,36,0.24600994546721655,COMPLETE
19,77118.2996797886,2025-11-10 15:07:30.107490,2025-11-10 15:07:38.653550,0 days 00:00:08.546060,19,24,0.0009872523074186878,2,36,0.21177262921642453,COMPLETE
20,65710.05549258753,2025-11-10 15:07:38.666950,2025-11-10 15:07:47.895492,0 days 00:00:09.228542,23,19,0.07317243158786545,5,33,0.23678291737179658,COMPLETE
21,58945.29530527053,2025-11-10 15:07:47.925426,2025-11-10 15:07:55.223564,0 days 00:00:07.298138,12,21,0.25261657438076013,2,16,0.38320638776704286,COMPLETE
22,60013.331386216465,2025-11-10 15:07:55.237042,2025-11-10 15:08:08.431529,0 days 00:00:13.194487,17,16,0.32181028793531496,3,172,0.207452722782568,COMPLETE
23,55324.41254340559,2025-11-10 15:08:08.476643,2025-11-10 15:08:21.946656,0 days 00:00:13.470013,13,23,0.058126925569538926,1,483,0.45505198862312146,COMPLETE
24,59744.00563070334,2025-11-10 15:08:22.194394,2025-11-10 15:08:32.632978,0 days 00:00:10.438584,12,24,0.056886197466713403,1,50,0.48916247660287043,COMPLETE
25,77164.76718341804,2025-11-10 15:08:32.653706,2025-11-10 15:08:40.026158,0 days 00:00:07.372452,9,26,0.007752495993665942,0,5,0.2802079946887833,COMPLETE
26,53939.089168159626,2025-11-10 15:08:40.040080,2025-11-10 15:08:46.825942,0 days 00:00:06.785862,17,22,0.4571065553389153,1,19,0.7359959317487346,COMPLETE
27,54215.62438687766,2025-11-10 15:08:46.857335,2025-11-10 15:08:54.152655,0 days 00:00:07.295320,21,22,0.43439629202373414,2,18,0.9935057885412832,COMPLETE
28,53746.35020770952,2025-11-10 15:08:54.165202,2025-11-10 15:09:00.966323,0 days 00:00:06.801121,25,22,0.4771202057878325,1,14,0.9821027001808886,COMPLETE
29,76934.65233122758,2025-11-10 15:09:00.992733,2025-11-10 15:09:08.762290,0 days 00:00:07.769557,26,30,7.859244014790762e-05,1,16,0.9577250032126619,COMPLETE
30,77164.7710647985,2025-11-10 15:09:08.774976,2025-11-10 15:09:16.443376,0 days 00:00:07.668400,25,26,0.5476267466361148,0,10,0.9924318060542824,COMPLETE
31,54452.125178329494,2025-11-10 15:09:16.456567,2025-11-10 15:09:24.367279,0 days 00:00:07.910712,30,22,0.3269766466552814,1,23,0.7577015038055792,COMPLETE
32,53241.60119555165,2025-11-10 15:09:24.392641,2025-11-10 15:09:30.822779,0 days 00:00:06.430138,30,21,0.4380288243247618,1,22,0.7648884571724099,COMPLETE
