number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
0,59789.80588141747,2025-11-10 13:16:33.960106,2025-11-10 13:17:53.878960,0 days 00:01:19.918854,squared_error,26,29,6,34,196,False,COMPLETE
1,60895.401191807214,2025-11-10 13:17:53.895232,2025-11-10 13:18:28.112103,0 days 00:00:34.216871,poisson,29,24,8,43,36,False,COMPLETE
2,60998.91149777242,2025-11-10 13:18:28.124665,2025-11-10 13:19:29.577420,0 days 00:01:01.452755,poisson,19,13,2,43,119,False,COMPLETE
3,60628.033617431836,2025-11-10 13:19:29.614078,2025-11-10 13:20:22.597745,0 days 00:00:52.983667,poisson,13,21,18,21,100,True,COMPLETE
4,57571.61296356479,2025-11-10 13:20:22.609688,2025-11-10 13:22:27.961433,0 days 00:02:05.351745,absolute_error,30,17,14,13,324,True,COMPLETE
5,61607.00940350081,2025-11-10 13:22:27.974333,2025-11-10 13:23:00.385033,0 days 00:00:32.410700,friedman_mse,2,10,20,70,22,True,COMPLETE
6,60600.37544615012,2025-11-10 13:23:00.398204,2025-11-10 13:23:32.301651,0 days 00:00:31.903447,squared_error,4,6,2,53,16,False,COMPLETE
7,59814.74030823327,2025-11-10 13:23:32.313768,2025-11-10 13:24:59.637990,0 days 00:01:27.324222,friedman_mse,7,28,16,11,210,False,COMPLETE
8,55846.59911555605,2025-11-10 13:24:59.650750,2025-11-10 13:25:59.913959,0 days 00:01:00.263209,poisson,1,14,7,20,120,False,COMPLETE
9,59357.62960058608,2025-11-10 13:25:59.971920,2025-11-10 13:26:35.474767,0 days 00:00:35.502847,friedman_mse,12,21,1,31,86,False,COMPLETE
10,55976.55143237692,2025-11-10 13:26:35.486504,2025-11-10 13:31:18.743143,0 days 00:04:43.256639,absolute_error,21,2,11,18,898,True,COMPLETE
11,56319.53863934379,2025-11-10 13:31:18.833892,2025-11-10 13:36:11.584119,0 days 00:04:52.750227,absolute_error,20,2,12,18,928,True,COMPLETE
12,55198.17394117705,2025-11-10 13:36:11.606213,2025-11-10 13:40:29.021201,0 days 00:04:17.414988,absolute_error,22,2,8,17,814,True,COMPLETE
13,55738.27181574349,2025-11-10 13:40:29.034999,2025-11-10 13:42:33.648481,0 days 00:02:04.613482,poisson,9,9,7,23,375,True,COMPLETE
14,56538.310630626955,2025-11-10 13:42:33.661026,2025-11-10 13:45:04.625805,0 days 00:02:30.964779,absolute_error,8,7,9,25,436,True,COMPLETE
15,53619.63121670259,2025-11-10 13:45:04.638862,2025-11-10 13:47:33.774989,0 days 00:02:29.136127,poisson,16,6,5,14,456,True,COMPLETE
16,53281.73062759469,2025-11-10 13:47:33.799582,2025-11-10 13:50:52.575420,0 days 00:03:18.775838,absolute_error,16,4,4,13,593,True,COMPLETE
17,52664.13464587273,2025-11-10 13:50:52.589629,2025-11-10 13:53:50.936987,0 days 00:02:58.347358,squared_error,16,5,4,10,545,True,COMPLETE
18,53189.268559788994,2025-11-10 13:53:50.959487,2025-11-10 13:54:24.483393,0 days 00:00:33.523906,squared_error,15,11,4,10,49,True,COMPLETE
19,53212.06312886905,2025-11-10 13:54:24.495566,2025-11-10 13:54:57.732289,0 days 00:00:33.236723,squared_error,12,11,4,10,46,True,COMPLETE
20,52927.88361886231,2025-11-10 13:54:57.745414,2025-11-10 13:55:31.556194,0 days 00:00:33.810780,squared_error,24,16,3,10,56,True,COMPLETE
21,52658.910624167314,2025-11-10 13:55:31.568334,2025-11-10 13:56:05.492234,0 days 00:00:33.923900,squared_error,25,17,3,10,47,True,COMPLETE
22,54038.30378693517,2025-11-10 13:56:05.510052,2025-11-10 13:56:38.187473,0 days 00:00:32.677421,squared_error,25,17,2,14,26,True,COMPLETE
23,53121.1574343708,2025-11-10 13:56:38.206519,2025-11-10 13:57:12.545321,0 days 00:00:34.338802,squared_error,25,20,1,12,67,True,COMPLETE
24,62290.28943105166,2025-11-10 13:57:12.581124,2025-11-10 13:57:44.247614,0 days 00:00:31.666490,squared_error,23,16,3,86,11,True,COMPLETE
25,54271.69498415126,2025-11-10 13:57:44.260280,2025-11-10 13:58:49.022445,0 days 00:01:04.762165,squared_error,27,19,5,15,161,True,COMPLETE
26,55507.70288156414,2025-11-10 13:58:49.034513,2025-11-10 13:59:23.766558,0 days 00:00:34.732045,squared_error,19,24,10,10,64,True,COMPLETE
27,53361.76403226414,2025-11-10 13:59:23.779122,2025-11-10 13:59:56.235300,0 days 00:00:32.456178,squared_error,28,14,6,12,34,True,COMPLETE
28,54785.69004963047,2025-11-10 13:59:56.269524,2025-11-10 14:01:29.344422,0 days 00:01:33.074898,squared_error,23,18,3,16,266,True,COMPLETE
29,56891.54791780615,2025-11-10 14:01:29.356174,2025-11-10 14:02:32.721677,0 days 00:01:03.365503,squared_error,26,24,6,26,167,True,COMPLETE
30,53215.72806231226,2025-11-10 14:02:32.744236,2025-11-10 14:03:07.315600,0 days 00:00:34.571364,squared_error,17,13,1,11,69,True,COMPLETE
31,53387.97154944726,2025-11-10 14:03:07.360270,2025-11-10 14:03:41.283787,0 days 00:00:33.923517,squared_error,24,20,1,12,59,True,COMPLETE
32,52896.476886613855,2025-11-10 14:03:41.297294,2025-11-10 14:04:13.607987,0 days 00:00:32.310693,squared_error,26,22,3,10,37,True,COMPLETE
33,52963.179588502644,2025-11-10 14:04:13.621335,2025-11-10 14:04:46.441245,0 days 00:00:32.819910,squared_error,28,30,3,10,34,True,COMPLETE
34,54303.54216021596,2025-11-10 14:04:46.453361,2025-11-10 14:05:18.951983,0 days 00:00:32.498622,squared_error,30,23,5,15,23,False,COMPLETE
35,53118.23721057664,2025-11-10 14:05:18.968442,2025-11-10 14:05:51.767612,0 days 00:00:32.799170,squared_error,18,15,3,11,44,True,COMPLETE
36,60250.99456180789,2025-11-10 14:05:51.780543,2025-11-10 14:06:23.314609,0 days 00:00:31.534066,friedman_mse,21,21,7,40,16,True,COMPLETE
37,53465.69664290264,2025-11-10 14:06:23.326834,2025-11-10 14:07:21.285114,0 days 00:00:57.958280,squared_error,26,27,5,13,103,False,COMPLETE
38,61194.16787165937,2025-11-10 14:07:21.317201,2025-11-10 14:07:54.132320,0 days 00:00:32.815119,squared_error,14,27,13,65,27,True,COMPLETE
39,59247.985137502415,2025-11-10 14:07:54.161903,2025-11-10 14:08:25.367038,0 days 00:00:31.205135,friedman_mse,30,22,15,20,18,True,COMPLETE
40,59939.24113141224,2025-11-10 14:08:25.380907,2025-11-10 14:08:58.339067,0 days 00:00:32.958160,squared_error,28,17,2,37,42,False,COMPLETE
41,52969.651705957636,2025-11-10 14:08:58.357899,2025-11-10 14:09:31.275210,0 days 00:00:32.917311,squared_error,28,30,3,10,37,True,COMPLETE
42,53029.213925049444,2025-11-10 14:09:31.286863,2025-11-10 14:10:04.326969,0 days 00:00:33.040106,squared_error,24,26,2,11,31,True,COMPLETE
43,53201.752523373834,2025-11-10 14:10:04.372512,2025-11-10 14:10:37.582655,0 days 00:00:33.210143,squared_error,26,12,4,12,54,True,COMPLETE
44,61264.862373149874,2025-11-10 14:10:37.596889,2025-11-10 14:11:11.702193,0 days 00:00:34.105304,poisson,29,30,3,51,75,True,COMPLETE
45,60162.199890898635,2025-11-10 14:11:11.714935,2025-11-10 14:12:12.191486,0 days 00:01:00.476551,squared_error,22,9,18,10,131,True,COMPLETE
46,54800.45528158064,2025-11-10 14:12:12.203263,2025-11-10 14:13:00.809062,0 days 00:00:48.605799,squared_error,27,16,8,14,96,False,COMPLETE
47,53326.45475415754,2025-11-10 14:13:00.821479,2025-11-10 14:13:32.477683,0 days 00:00:31.656204,friedman_mse,10,25,2,11,18,True,COMPLETE
48,54467.0751281283,2025-11-10 14:13:32.489561,2025-11-10 14:14:04.780989,0 days 00:00:32.291428,poisson,4,19,6,13,31,True,COMPLETE
49,54885.428782999865,2025-11-10 14:14:04.804494,2025-11-10 14:14:38.511279,0 days 00:00:33.706785,squared_error,20,28,4,16,38,True,COMPLETE
50,52999.2718554267,2025-11-10 14:14:38.540084,2025-11-10 14:15:16.198871,0 days 00:00:37.658787,absolute_error,24,15,1,11,82,True,COMPLETE
51,52972.84389295187,2025-11-10 14:15:16.228132,2025-11-10 14:15:48.631661,0 days 00:00:32.403529,squared_error,28,30,3,10,36,True,COMPLETE
52,53429.538820777045,2025-11-10 14:15:48.665776,2025-11-10 14:16:21.483205,0 days 00:00:32.817429,squared_error,29,29,2,10,22,True,COMPLETE
53,53521.71850259135,2025-11-10 14:16:21.515590,2025-11-10 14:16:56.037484,0 days 00:00:34.521894,squared_error,27,29,4,12,50,True,COMPLETE
54,53063.32201046477,2025-11-10 14:16:56.049191,2025-11-10 14:17:29.452623,0 days 00:00:33.403432,squared_error,25,26,5,11,55,True,COMPLETE
55,53380.83813711254,2025-11-10 14:17:29.464923,2025-11-10 14:21:07.312050,0 days 00:03:37.847127,squared_error,29,4,3,13,684,True,COMPLETE
56,53409.63793911911,2025-11-10 14:21:07.329689,2025-11-10 14:21:39.642604,0 days 00:00:32.312915,squared_error,22,8,6,10,40,True,COMPLETE
57,55400.30397192307,2025-11-10 14:21:39.685052,2025-11-10 14:22:13.211636,0 days 00:00:33.526584,absolute_error,27,18,7,18,28,False,COMPLETE
58,57721.27280103798,2025-11-10 14:22:13.223996,2025-11-10 14:22:45.734704,0 days 00:00:32.510708,poisson,23,13,3,29,34,True,COMPLETE
59,54336.599857762005,2025-11-10 14:22:45.745840,2025-11-10 14:23:17.069290,0 days 00:00:31.323450,squared_error,6,22,1,14,10,True,COMPLETE
60,54998.37088172925,2025-11-10 14:23:17.081398,2025-11-10 14:23:48.880195,0 days 00:00:31.798797,friedman_mse,25,4,9,12,14,True,COMPLETE
61,52974.54228198315,2025-11-10 14:23:48.892562,2025-11-10 14:24:20.555041,0 days 00:00:31.662479,squared_error,28,30,3,10,22,True,COMPLETE
62,52943.35223339164,2025-11-10 14:24:20.605363,2025-11-10 14:24:52.027678,0 days 00:00:31.422315,squared_error,28,30,4,10,35,True,COMPLETE
63,53162.16284153054,2025-11-10 14:24:52.039953,2025-11-10 14:25:23.824983,0 days 00:00:31.785030,squared_error,30,28,4,11,47,True,COMPLETE
64,53313.13758929419,2025-11-10 14:25:23.846621,2025-11-10 14:25:55.688531,0 days 00:00:31.841910,squared_error,26,26,5,12,61,True,COMPLETE
65,53389.041397235895,2025-11-10 14:25:55.746034,2025-11-10 14:26:26.370147,0 days 00:00:30.624113,squared_error,28,1,2,13,25,True,COMPLETE
66,54522.72531150751,2025-11-10 14:26:26.395002,2025-11-10 14:28:11.970178,0 days 00:01:45.575176,squared_error,24,29,4,15,294,True,COMPLETE
67,53658.63464428936,2025-11-10 14:28:11.982454,2025-11-10 14:28:43.144610,0 days 00:00:31.162156,squared_error,11,27,6,10,32,True,COMPLETE
68,53197.76442987747,2025-11-10 14:28:43.167274,2025-11-10 14:29:13.879470,0 days 00:00:30.712196,squared_error,26,14,2,11,19,True,COMPLETE
69,54116.950701346075,2025-11-10 14:29:13.909369,2025-11-10 14:29:45.616160,0 days 00:00:31.706791,squared_error,27,28,5,14,40,False,COMPLETE
70,63448.223334525734,2025-11-10 14:29:45.655306,2025-11-10 14:31:13.425713,0 days 00:01:27.770407,absolute_error,29,25,1,98,217,True,COMPLETE
71,52969.651705957636,2025-11-10 14:31:13.451610,2025-11-10 14:31:44.995136,0 days 00:00:31.543526,squared_error,28,30,3,10,37,True,COMPLETE
72,53105.84801994992,2025-11-10 14:31:45.008189,2025-11-10 14:32:16.630479,0 days 00:00:31.622290,squared_error,30,30,3,10,49,True,COMPLETE
73,53655.85710671332,2025-11-10 14:32:16.652902,2025-11-10 14:32:47.939455,0 days 00:00:31.286553,squared_error,25,29,4,12,37,True,COMPLETE
74,52825.49580117039,2025-11-10 14:32:47.956339,2025-11-10 14:33:19.015592,0 days 00:00:31.059253,squared_error,28,11,4,11,29,True,COMPLETE
75,53037.39015357969,2025-11-10 14:33:19.036185,2025-11-10 14:33:49.882085,0 days 00:00:30.845900,squared_error,29,11,5,11,29,True,COMPLETE
76,52768.2575283836,2025-11-10 14:33:49.894748,2025-11-10 14:34:20.844514,0 days 00:00:30.949766,squared_error,23,5,2,11,44,True,COMPLETE
